cost_fn;methods;tensor_network;num_qubits;num_run;upper_bound_cost;operations;operations_with_bruteforce;max_tensor_size;avg_tensor_sparsity;time
flops;['kahypar'];BB Tanner;30;0;79228162518967648204068753152;5356937193472.0;5356937197312.0;549755813888;0.01712;81280.48176026344
flops;['kahypar'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;1.2653887271881104
flops;['kahypar'];Concatenated Repetition;27;0;700;134.0;330.0;16;0.51042;0.2727534770965576
flops;['kahypar'];Concatenated Repetition;81;0;2860;614.0;1242.0;32;0.49359;1.4796247482299805
flops;['greedy'];Holographic;25;0;36656;5632.0;5808.0;1024;1.0;1.0891647338867188
flops;['greedy'];Holographic;95;0;1509328;3073152.0;3074128.0;65536;0.35469;0.7763197422027588
flops;['greedy'];Hamming Tanner;7;0;1623004;1024.0;1244.0;256;0.14876;1.1600215435028076
flops;['greedy'];Hamming Tanner;15;0;295619156592;6027856.0;6030528.0;1048576;0.04927;0.4702203273773193
flops;['greedy'];BB Tanner;18;0;28289482098944;6970311744.0;6970314048.0;1073741824;0.04334;1.6335794925689695
flops;['greedy'];BB Tanner;30;0;20425946822086400;8054576990272.0;8054576994112.0;1099511627776;0.01763;2.918949604034424
flops;['greedy'];Hamming Tanner;7;0;1635292;816.0;1036.0;256;0.1084;1.0818874835968018
flops;['greedy'];Hamming Tanner;15;0;295619156592;5978704.0;5981376.0;1048576;0.04927;0.6779220104217529
flops;['greedy'];Rotated Surface;9;0;6720;104.0;168.0;16;0.19531;1.0399925708770752
flops;['greedy'];Rotated Surface;25;0;215808;2600.0;2856.0;128;0.125;0.166325569152832
flops;['greedy'];Rotated Surface;49;0;7994944;11312.0;11888.0;256;0.05973;0.3763511180877685
flops;['greedy'];BB MSP;18;0;36756750896850;30435944.0;30441722.0;4194304;0.03615;10.872654676437378
flops;['greedy'];BB MSP;30;0;3483708155816351190;2.156324773598393e+18;2.156324773598403e+18;144115188075855872;0.03259;26.717623949050903
flops;['kahypar'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;0.7788879871368408
flops;['kahypar'];Concatenated Repetition;27;0;588;130.0;326.0;16;0.58333;0.412747859954834
flops;['kahypar'];Concatenated Repetition;81;0;2860;614.0;1242.0;32;0.49359;1.7054407596588137
flops;['greedy'];Hamming MSP;7;0;182895;2008.0;2663.0;128;0.10461;1.4875829219818115
flops;['greedy'];Hamming MSP;15;0;227409767055;418834.0;427713.0;65536;0.04447;3.136836528778076
flops;['greedy'];BB MSP;18;0;10503965065642;1077495999696.0;1077496005474.0;137438953472;0.02632;7.56725001335144
flops;['greedy'];BB MSP;30;0;29559835821820818311518;241656887904828.0;241656887914458.0;140737488355328;0.0449;28.87115716934204
flops;['kahypar'];Hamming Tanner;7;0;1622812;1076.0;1296.0;256;0.14355;21.7660710811615
flops;['kahypar'];Hamming Tanner;15;0;90076466161207920;1984768.0;1987440.0;1048576;0.04643;2.64300537109375
flops;['kahypar'];BB Tanner;18;0;4722655557680395454720;152655872.0;152658176.0;16777216;0.02908;9205.37329173088
flops;['kahypar'];BB Tanner;30;0;37594113223692032;7133882439808.0;7133882443648.0;549755813888;0.0173;67169.86877202988
flops;['greedy'];Holographic;25;0;18736;2560.0;2736.0;256;0.925;1.1047451496124268
flops;['greedy'];Holographic;95;0;5421648;5957568.0;5958544.0;262144;0.8875;1.0538206100463867
flops;['greedy'];Hamming MSP;7;0;739439;1782.0;2437.0;256;0.15527;2.624812126159668
flops;['greedy'];Hamming MSP;15;0;228890860839;886830066.0;886838945.0;134217728;0.02961;5.3365654945373535
flops;['kahypar'];BB MSP;18;0;1789465429038786;97982719682.0;97982725460.0;34359738368;0.0967;92114.43156218527
flops;['kahypar'];BB Tanner;18;0;20032043135771871488;3806140418.0;3806142722.0;1073741824;0.02898;200.263596534729
flops;['kahypar'];BB Tanner;30;0;19645044667016495056293632;6427304884224.0;6427304888064.0;549755813888;0.01718;31145.656086206436
flops;['kahypar'];BB MSP;18;0;81558036335724242;20733056.0;20738834.0;16777216;0.08263;149330.79311180115
flops;['greedy'];BB Tanner;18;0;24990947215616;6196693056.0;6196695360.0;1073741824;0.0295;2.757377862930298
flops;['greedy'];BB Tanner;30;0;20359975319113472;4889996592512.0;4889996596352.0;549755813888;0.01723;5.163437366485596
flops;['kahypar'];Rotated Surface;9;0;6720;272.0;336.0;32;0.3125;1.1805927753448486
flops;['kahypar'];Rotated Surface;25;0;169216;1736.0;1992.0;64;0.11198;4.117047309875488
flops;['kahypar'];Rotated Surface;49;0;22570048;18552.0;19128.0;512;0.07585;1350.983080148697
flops;['kahypar'];Holographic;25;0;13040;3664.0;3840.0;256;0.925;11.032559394836426
flops;['kahypar'];Holographic;95;0;1604688;2546880.0;2547856.0;65536;0.81719;463.5106728076935
flops;['kahypar'];Rotated Surface;9;0;6720;272.0;336.0;32;0.3125;1.1845545768737793
flops;['kahypar'];Rotated Surface;25;0;211200;1764.0;2020.0;64;0.10417;4.7922444343566895
flops;['kahypar'];Rotated Surface;49;0;10363968;13144.0;13720.0;256;0.07186;29.365297317504883
flops;['greedy'];Rotated Surface;9;0;6720;120.0;184.0;16;0.21875;0.96067214012146
flops;['greedy'];Rotated Surface;25;0;114944;1472.0;1728.0;64;0.11165;0.3208301067352295
