cost_fn;methods;tensor_network;num_qubits;num_run;upper_bound_cost;operations;operations_with_bruteforce;max_tensor_size;avg_tensor_sparsity;time
custom_flops;['greedy'];BB MSP;18;0;94448482582729993555794;914096796.0;914102574.0;268435456;0.11574;311.34498739242554
custom_flops;['greedy'];BB MSP;30;0;20312120467126333025600201131102;44278531011668.0;44278531021298.0;4398046511104;0.11027;320.29159593582153
flops;['greedy'];BB MSP;18;0;825302291026;181857068.0;181862846.0;67108864;0.02476;28.13303828239441
flops;['greedy'];BB MSP;30;0;17124873234154042142;484963835153648.0;484963835163278.0;140737488355328;0.07098;94.65627455711365
custom_flops;['kahypar'];Rotated Surface MSP;9;0;1380305;1386.0;2267.0;128;0.13806;307.23434829711914
custom_flops;['kahypar'];Rotated Surface MSP;25;0;37440790839166809;226052918.0;226064559.0;33554432;0.0905;4049.6896798610687
flops;['kahypar'];Rotated Surface MSP;9;0;343921;1340.0;2221.0;128;0.14643;301.75229835510254
flops;['kahypar'];Rotated Surface MSP;25;0;300083864789887848865;2384750159.0;2384761800.0;1073741824;0.09312;8013.006091594696
custom_flops;['kahypar'];Rotated Surface Tanner;9;0;431536;492.0;732.0;64;0.11963;412.21731424331665
custom_flops;['kahypar'];Rotated Surface Tanner;25;0;37779257600591903213216;673509604.0;673515844.0;536870912;0.03314;364.33581733703613
flops;['kahypar'];Rotated Surface Tanner;9;0;423344;540.0;780.0;64;0.12354;302.25153493881226
flops;['kahypar'];Rotated Surface Tanner;25;0;4657887675413036768;1255049012.0;1255055252.0;1073741824;0.03217;459.8170323371887
custom_flops;['greedy'];BB Tanner;18;0;151120358014287408793856;913036288.0;913038592.0;268435456;0.02905;125.2186164855957
custom_flops;['greedy'];BB Tanner;30;0;19527301419503360;5000459355200.0;5000459359040.0;549755813888;0.02571;306.46268486976624
flops;['greedy'];BB Tanner;18;0;22310887622912;5535253568.0;5535255872.0;1073741824;0.04335;6.146814584732056
flops;['greedy'];BB Tanner;30;0;19515756547411712;8307294880832.0;8307294884672.0;1099511627776;0.02572;10.486698865890503
custom_flops;['kahypar'];Rotated Surface;9;0;5184;76.0;140.0;16;0.16992;35.59519672393799
custom_flops;['kahypar'];Rotated Surface;25;0;194752;612.0;868.0;32;0.07617;301.36089062690735
