cost_fn;representation;num_run_x;distance;num_qubits;contraction_time;contraction cost;contraction width;operations;avg intermediate tensor;max tensor size;wep;score_cotengra;brute_force;num_run_y;brute_force_operations;operations_w_bruteforce
custom;Concatenated;10;3;9;0.0246376991271972;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;10;3;9;0.0850875377655029;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;10;3;9;0.0880095958709716;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;11;3;9;0.0248899459838867;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;11;3;9;0.0885801315307617;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;11;3;9;0.0867128372192382;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;12;3;9;0.0246121883392334;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;12;3;9;0.086998701095581;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;12;3;9;0.0873169898986816;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;13;3;9;0.02567720413208;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;13;3;9;0.087984561920166;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;13;3;9;0.0887460708618164;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;14;3;9;0.0245656967163085;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;14;3;9;0.0868535041809082;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;14;3;9;0.0871999263763427;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;15;3;9;0.0247406959533691;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;15;3;9;0.0870802402496337;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;15;3;9;0.086681842803955;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;16;3;9;0.0253937244415283;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;16;3;9;0.0883097648620605;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;16;3;9;0.0869255065917968;200;4.0;118;7.190476190476191;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.882643049361842;256;;;118.0
custom;Concatenated;17;3;9;0.0245811939239501;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;17;3;9;0.0877161026000976;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;17;3;9;0.08866548538208;200;4.0;120;7.285714285714286;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.906890595608519;256;;;120.0
custom;Concatenated;18;3;9;0.0252492427825927;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;18;3;9;0.0876119136810302;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;18;3;9;0.0879209041595459;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;19;3;9;0.0245547294616699;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;19;3;9;0.0846931934356689;232;5.0;112;6.904761904761905;16;{0:1, 2:4, 4:22, 6:100, 8:129};6.807354922057604;256;0.0;52.0;164.0
custom;Rectangular Surface;19;3;9;0.090120792388916;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;20;3;9;0.0256474018096923;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;20;3;9;0.0877070426940918;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;20;3;9;0.0884015560150146;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;21;3;9;0.0253705978393554;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;21;3;9;0.0895936489105224;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;21;3;9;0.0905923843383789;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;22;3;9;0.0253632068634033;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;22;3;9;0.0899703502655029;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;22;3;9;0.0904819965362548;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;23;3;9;0.0251641273498535;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;23;3;9;0.0894958972930908;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;23;3;9;0.0855157375335693;200;4.0;118;7.190476190476191;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.882643049361842;256;;;118.0
custom;Concatenated;24;3;9;0.0247070789337158;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;24;3;9;0.087512731552124;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;24;3;9;0.085193395614624;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;25;3;9;0.0252845287322998;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;25;3;9;0.087273359298706;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;25;3;9;0.088294506072998;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;26;3;9;0.0265271663665771;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;26;3;9;0.091477632522583;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;26;3;9;0.0800099372863769;200;4.0;120;7.285714285714286;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.906890595608519;256;;;120.0
custom;Concatenated;27;3;9;0.0150249004364013;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;27;3;9;0.078174352645874;200;4.0;120;7.285714285714286;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.906890595608519;256;0.0;52.0;172.0
custom;Rectangular Surface;27;3;9;0.0784151554107666;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;28;3;9;0.0148432254791259;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;28;3;9;0.0807180404663086;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;28;3;9;0.0820748805999755;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;29;3;9;0.0235960483551025;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;29;3;9;0.081212043762207;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;29;3;9;0.0813338756561279;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;30;3;9;0.0236914157867431;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;30;3;9;0.120577335357666;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;30;3;9;0.1078593730926513;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;31;3;9;0.0319540500640869;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;31;3;9;0.114640474319458;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;31;3;9;0.1118381023406982;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;32;3;9;0.0297977924346923;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
