distance;name;num_run;custom_cost
3;Measurement State Prep;39;3123
3;Tanner Network;39;2477
3;Dual Surface;40;273
3;Rotated Surface;40;87
3;Concatenated;40;2049
3;Measurement State Prep;40;2875
3;Tanner Network;40;2357
3;Dual Surface;41;285
3;Rotated Surface;41;89
3;Concatenated;41;2329
3;Measurement State Prep;41;2777
3;Tanner Network;41;2369
3;Dual Surface;42;265
3;Rotated Surface;42;89
3;Concatenated;42;1993
3;Measurement State Prep;42;2703
3;Tanner Network;42;2333
3;Dual Surface;43;277
3;Rotated Surface;43;87
3;Concatenated;43;2137
3;Measurement State Prep;43;2829
3;Tanner Network;43;2137
3;Dual Surface;44;273
3;Rotated Surface;44;87
3;Concatenated;44;2313
3;Measurement State Prep;44;2881
3;Tanner Network;44;2369
3;Dual Surface;45;249
3;Rotated Surface;45;93
3;Concatenated;45;1785
3;Measurement State Prep;45;2845
3;Tanner Network;45;2141
3;Dual Surface;46;289
3;Rotated Surface;46;91
3;Concatenated;46;2169
3;Measurement State Prep;46;3465
3;Tanner Network;46;2345
3;Dual Surface;47;269
3;Rotated Surface;47;89
3;Concatenated;47;1761
3;Measurement State Prep;47;3057
3;Tanner Network;47;2353
3;Dual Surface;48;269
3;Rotated Surface;48;91
3;Concatenated;48;1929
3;Measurement State Prep;48;2607
3;Tanner Network;48;2481
3;Dual Surface;49;273
3;Rotated Surface;49;89
3;Concatenated;49;2169
3;Measurement State Prep;49;2517
3;Tanner Network;49;2321
3;Dual Surface;50;289
3;Rotated Surface;50;107
3;Concatenated;50;2065
3;Measurement State Prep;50;2779
3;Tanner Network;50;2065
3;Dual Surface;51;277
3;Rotated Surface;51;91
3;Concatenated;51;2185
3;Measurement State Prep;51;2143
3;Tanner Network;51;2009
3;Dual Surface;52;297
3;Rotated Surface;52;107
3;Concatenated;52;2073
3;Measurement State Prep;52;2341
3;Tanner Network;52;2393
3;Dual Surface;53;249
3;Rotated Surface;53;87
3;Concatenated;53;1833
3;Measurement State Prep;53;2927
3;Tanner Network;53;2449
3;Dual Surface;54;297
3;Rotated Surface;54;105
3;Concatenated;54;2177
3;Measurement State Prep;54;2621
3;Tanner Network;54;2265
3;Dual Surface;55;249
3;Rotated Surface;55;99
3;Concatenated;55;1825
3;Measurement State Prep;55;3075
3;Tanner Network;55;2033
3;Dual Surface;56;281
3;Rotated Surface;56;95
3;Concatenated;56;2081
3;Measurement State Prep;56;2777
3;Tanner Network;56;2521
3;Dual Surface;57;281
3;Rotated Surface;57;87
3;Concatenated;57;2329
3;Measurement State Prep;57;3025
3;Tanner Network;57;2065
3;Dual Surface;58;289
3;Rotated Surface;58;87
3;Concatenated;58;2145
3;Measurement State Prep;58;2863
3;Tanner Network;58;2489
3;Dual Surface;59;265
3;Rotated Surface;59;87
3;Concatenated;59;2153
3;Measurement State Prep;59;3461
