cost_fn;methods;tensor_network;num_qubits;num_run;upper_bound_cost;operations;operations_with_bruteforce;max_tensor_size;avg_tensor_sparsity;time
flops;['greedy'];BB Tanner;18;0;22310887622912;5510368640.0;5510370944.0;1073741824;0.02905;1.8400187492370603
flops;['greedy'];BB Tanner;30;0;19515550388981504;6780786280512.0;6780786284352.0;549755813888;0.0175;5.628643989562988
custom_flops;['greedy'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;2.5475258827209473
custom_flops;['greedy'];Concatenated Repetition;27;0;588;116.0;312.0;16;0.57292;7.187314748764038
custom_flops;['greedy'];Concatenated Repetition;81;0;2028;476.0;1104.0;16;0.58013;31.68311309814453
flops;['greedy'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;0.0350053310394287
flops;['greedy'];Concatenated Repetition;27;0;588;130.0;326.0;16;0.58333;0.0959653854370117
flops;['greedy'];Concatenated Repetition;81;0;2028;476.0;1104.0;16;0.58013;0.2998325824737549
custom_flops;['greedy'];Rotated Surface Tanner;9;0;398000;460.0;700.0;64;0.14209;28.51326036453247
custom_flops;['greedy'];Rotated Surface Tanner;25;0;40568143758171040;3639604.0;3645844.0;1048576;0.03567;169.92013096809387
flops;['greedy'];Rotated Surface Tanner;9;0;398064;576.0;816.0;64;0.14697;0.2835109233856201
flops;['greedy'];Rotated Surface Tanner;25;0;320162008976480;12640544.0;12646784.0;1048576;0.03165;2.2539117336273193
custom_flops;['greedy'];Holographic;25;0;10544;2368.0;2544.0;256;0.82656;3.6267201900482178
custom_flops;['greedy'];Holographic;95;0;101324368;2805120.0;2806096.0;262144;0.85547;32.347811698913574
flops;['greedy'];Holographic;25;0;13040;3088.0;3264.0;256;0.925;0.2130508422851562
flops;['greedy'];Holographic;95;0;17643088;18282624.0;18283600.0;65536;0.875;1.8448379039764404
custom_flops;['greedy'];Rotated Surface;9;0;6720;68.0;132.0;8;0.17188;12.31857967376709
custom_flops;['greedy'];Rotated Surface;25;0;178432;772.0;1028.0;32;0.07096;50.641592502593994
custom_flops;['greedy'];Rotated Surface;49;0;6262336;7712.0;8288.0;256;0.05326;113.85193300247192
flops;['greedy'];Rotated Surface;9;0;6656;100.0;164.0;16;0.21094;0.1612462997436523
flops;['greedy'];Rotated Surface;25;0;186624;1168.0;1424.0;64;0.0931;0.5017209053039551
flops;['greedy'];Rotated Surface;49;0;3753536;10192.0;10768.0;256;0.05192;1.5253515243530271
custom_flops;['greedy'];Holographic;25;0;10544;2368.0;2544.0;256;0.82656;20.388195037841797
custom_flops;['greedy'];Holographic;95;0;1462480;2808000.0;2808976.0;262144;0.58672;145.9557225704193
flops;['greedy'];Holographic;25;0;18736;3280.0;3456.0;256;0.925;0.256047248840332
flops;['greedy'];Holographic;95;0;17583184;17748240.0;17749216.0;65536;0.875;1.7649991512298584
custom_flops;['greedy'];Rotated Surface;9;0;6720;68.0;132.0;8;0.17188;12.501457214355469
custom_flops;['greedy'];Rotated Surface;25;0;165120;896.0;1152.0;64;0.08105;48.64672899246216
custom_flops;['greedy'];Rotated Surface;49;0;15041600;6496.0;7072.0;256;0.05361;92.26618695259094
flops;['greedy'];Rotated Surface;9;0;6656;228.0;292.0;32;0.29688;0.3336596488952636
flops;['greedy'];Rotated Surface;25;0;181120;1704.0;1960.0;64;0.10352;1.0966455936431885
flops;['greedy'];Rotated Surface;49;0;8724032;13016.0;13592.0;256;0.05363;2.668449640274048
custom_flops;['greedy'];BB Tanner;18;0;37780157690903492036864;269730880.0;269733184.0;67108864;0.02905;49.65246224403381
custom_flops;['greedy'];BB Tanner;30;0;20359975319113472;4323630745664.0;4323630749504.0;274877906944;0.0175;205.02541494369507
flops;['greedy'];BB Tanner;18;0;22310887622912;5592696898.0;5592699202.0;1073741824;0.02862;3.144848346710205
flops;['greedy'];BB Tanner;30;0;19515550388981504;4817065429120.0;4817065432960.0;549755813888;0.01723;8.714820146560669
custom_flops;['greedy'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;2.6738319396972656
custom_flops;['greedy'];Concatenated Repetition;27;0;588;116.0;312.0;16;0.57292;7.087399482727051
custom_flops;['greedy'];Concatenated Repetition;81;0;2028;476.0;1104.0;16;0.58013;30.30825781822205
flops;['greedy'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;0.0694653987884521
flops;['greedy'];Concatenated Repetition;27;0;588;116.0;312.0;16;0.57292;0.2004218101501464
flops;['greedy'];Concatenated Repetition;81;0;2028;484.0;1112.0;16;0.58333;0.4896605014801025
custom_flops;['greedy'];Rotated Surface Tanner;9;0;637296;452.0;692.0;64;0.12207;12.613473653793337
custom_flops;['greedy'];Rotated Surface Tanner;25;0;4634416786538818464;4687988.0;4694228.0;1048576;0.03568;93.4394989013672
flops;['greedy'];Rotated Surface Tanner;9;0;398000;636.0;876.0;64;0.14746;0.3289413452148437
flops;['greedy'];Rotated Surface Tanner;25;0;1363372781792;28625132.0;28631372.0;4194304;0.03215;1.6767921447753906
custom_flops;['greedy'];BB MSP;18;0;18617191444754;14476352.0;14482130.0;1048576;0.0578;305.9406096935272
custom_flops;['greedy'];BB MSP;30;0;103845937229027223676990233387421406;36770229229860.0;36770229239490.0;8796093022208;0.11382;319.05287504196167
flops;['greedy'];BB MSP;18;0;16168085742290;25597219511012.0;25597219516790.0;4398046511104;0.03209;42.17288613319397
flops;['greedy'];BB MSP;30;0;2710527137679847398;433776890175255.0;433776890184885.0;35184372088832;0.01257;102.60832619667052
custom_flops;['greedy'];BB MSP;18;0;7845710187218;9382744.0;9388522.0;2097152;0.03417;88.00023245811462
custom_flops;['greedy'];BB MSP;30;0;577189283498837470;841244367822.0;841244377452.0;137438953472;0.04454;261.4580268859863
flops;['greedy'];BB MSP;18;0;7934112124298;9819209295591.0;9819209301369.0;1099511627776;0.01574;7.892897605895996
flops;['greedy'];BB MSP;30;0;1230780614308856342;4.930057600991158e+18;4.930057600991167e+18;1152921504606846976;0.03437;26.842453956604004
custom_flops;['greedy'];Holographic;25;0;10480;2320.0;2496.0;256;0.82656;7.893477201461792
custom_flops;['greedy'];Holographic;95;0;34216528;1845888.0;1846864.0;65536;0.87188;180.52017903327945
flops;['greedy'];Holographic;25;0;18672;3088.0;3264.0;256;0.925;0.2318842411041259
flops;['greedy'];Holographic;95;0;17583184;17748816.0;17749792.0;65536;0.875;1.4207851886749268
custom_flops;['greedy'];Rotated Surface;9;0;6720;68.0;132.0;8;0.17188;9.648048162460327
custom_flops;['greedy'];Rotated Surface;25;0;189696;1024.0;1280.0;64;0.08822;40.10133981704712
custom_flops;['greedy'];Rotated Surface;49;0;6610496;7784.0;8360.0;256;0.05212;87.5623984336853
flops;['greedy'];Rotated Surface;9;0;6656;196.0;260.0;32;0.28125;0.2082688808441162
flops;['greedy'];Rotated Surface;25;0;136576;1032.0;1288.0;64;0.09115;0.901010274887085
flops;['greedy'];Rotated Surface;49;0;5606976;11672.0;12248.0;256;0.06738;2.3274505138397217
custom_flops;['greedy'];Rotated Surface MSP;9;0;1371081;1206.0;2087.0;64;0.16522;39.676984548568726
custom_flops;['greedy'];Rotated Surface MSP;25;0;1140484060763737;2728102.0;2739743.0;524288;0.11416;305.1821210384369
flops;['greedy'];Rotated Surface MSP;9;0;1404681;1264.0;2145.0;64;0.16997;1.1820688247680664
flops;['greedy'];Rotated Surface MSP;25;0;53589412075001;3486760.0;3498401.0;524288;0.08689;20.08438181877136
custom_flops;['greedy'];Rotated Surface Tanner;9;0;639664;508.0;748.0;64;0.15088;12.53653883934021
custom_flops;['greedy'];Rotated Surface Tanner;25;0;18316776554687392;4441476.0;4447716.0;1048576;0.03567;83.30802178382874
flops;['greedy'];Rotated Surface Tanner;9;0;398000;540.0;780.0;64;0.15283;0.3102691173553467
flops;['greedy'];Rotated Surface Tanner;25;0;5682032253344;42349988.0;42356228.0;2097152;0.0278;2.9059152603149414
custom_flops;['greedy'];Rotated Surface MSP;9;0;575857;1222.0;2103.0;128;0.16375;40.63671112060547
custom_flops;['greedy'];Rotated Surface MSP;25;0;182059251739897;2322838.0;2334479.0;262144;0.08089;198.91891527175903
flops;['greedy'];Rotated Surface MSP;9;0;1137993;1258.0;2139.0;128;0.16575;1.0066845417022705
flops;['greedy'];Rotated Surface MSP;25;0;4581754506562297;3716430.0;3728071.0;1048576;0.11054;22.662902116775513
custom_flops;['greedy'];BB Tanner;18;0;302600534199753955870976;1432044544.0;1432046848.0;1073741824;0.02905;40.52887439727783
custom_flops;['greedy'];BB Tanner;30;0;20359975319113472;5079345756288.0;5079345760128.0;549755813888;0.01723;100.09184145927428
flops;['greedy'];BB Tanner;18;0;22310887622912;5589500992.0;5589503296.0;1073741824;0.04334;3.278742790222168
flops;['greedy'];BB Tanner;30;0;19515550388981504;5852462537920.0;5852462541760.0;549755813888;0.01723;8.707926511764526
custom_flops;['greedy'];Hamming Tanner;7;0;1623004;788.0;1008.0;256;0.1084;11.238421201705933
custom_flops;['greedy'];Hamming Tanner;15;0;72409731051178608;1781248.0;1783920.0;1048576;0.04663;41.33123564720154
flops;['greedy'];Hamming Tanner;7;0;1389532;1024.0;1244.0;256;0.14876;0.2885184288024902
flops;['greedy'];Hamming Tanner;15;0;295418821296;6024020.0;6026692.0;1048576;0.05814;0.7460067272186279
custom_flops;['greedy'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;2.3085057735443115
custom_flops;['greedy'];Concatenated Repetition;27;0;588;116.0;312.0;16;0.57292;6.658821105957031
custom_flops;['greedy'];Concatenated Repetition;81;0;2028;476.0;1104.0;16;0.58013;21.320753574371334
flops;['greedy'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;0.030808687210083
flops;['greedy'];Concatenated Repetition;27;0;588;130.0;326.0;16;0.58333;0.1328120231628418
flops;['greedy'];Concatenated Repetition;81;0;2028;476.0;1104.0;16;0.58013;0.2694756984710693
custom_flops;['greedy'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;2.6625125408172607
custom_flops;['greedy'];Concatenated Repetition;27;0;588;116.0;312.0;16;0.57292;6.542198896408081
custom_flops;['greedy'];Concatenated Repetition;81;0;2028;476.0;1104.0;16;0.58013;28.936254024505615
flops;['greedy'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;0.0590362548828125
flops;['greedy'];Concatenated Repetition;27;0;588;130.0;326.0;16;0.58333;0.1647863388061523
flops;['greedy'];Concatenated Repetition;81;0;2028;484.0;1112.0;16;0.58333;0.484778881072998
custom_flops;['greedy'];Rotated Surface;9;0;6720;68.0;132.0;8;0.17188;10.64566135406494
custom_flops;['greedy'];Rotated Surface;25;0;106752;980.0;1236.0;64;0.09505;40.21291756629944
custom_flops;['greedy'];Rotated Surface;49;0;44241984;5880.0;6456.0;256;0.04604;80.00768375396729
flops;['greedy'];Rotated Surface;9;0;6656;116.0;180.0;16;0.25781;0.2470629215240478
flops;['greedy'];Rotated Surface;25;0;126208;1304.0;1560.0;64;0.10026;0.647122859954834
flops;['greedy'];Rotated Surface;49;0;10575424;7328.0;7904.0;256;0.05827;2.4556643962860107
custom_flops;['greedy'];Rotated Surface MSP;9;0;417521;1172.0;2053.0;128;0.16248;93.14995098114014
custom_flops;['greedy'];Rotated Surface MSP;25;0;1155261819765501241;4389240.0;4400881.0;1048576;0.11757;309.1747395992279
flops;['greedy'];Rotated Surface MSP;9;0;1371017;1258.0;2139.0;64;0.17209;2.5150272846221924
flops;['greedy'];Rotated Surface MSP;25;0;1043086248377;28977100.0;28988741.0;8388608;0.05579;29.805567979812626
custom_flops;['greedy'];Holographic;25;0;10544;2368.0;2544.0;256;0.82656;7.173985958099365
custom_flops;['greedy'];Holographic;95;0;11446352;2571072.0;2572048.0;262144;0.8625;71.98290419578552
flops;['greedy'];Holographic;25;0;13040;2512.0;2688.0;256;0.925;0.1917686462402343
flops;['greedy'];Holographic;95;0;17673808;18281856.0;18282832.0;65536;0.87188;1.3547756671905518
custom_flops;['greedy'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;2.452854633331299
custom_flops;['greedy'];Concatenated Repetition;27;0;588;116.0;312.0;16;0.57292;6.942228078842163
custom_flops;['greedy'];Concatenated Repetition;81;0;2028;476.0;1104.0;16;0.58013;29.60105609893799
flops;['greedy'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;0.0377960205078125
flops;['greedy'];Concatenated Repetition;27;0;588;116.0;312.0;16;0.57292;0.1200053691864013
flops;['greedy'];Concatenated Repetition;81;0;2028;476.0;1104.0;16;0.58013;0.3313660621643066
custom_flops;['greedy'];BB MSP;18;0;10104926928146;9356100.0;9361878.0;1048576;0.03672;306.6983609199524
custom_flops;['greedy'];BB MSP;30;0;329594417607033436656024526036318;57202008620172.0;57202008629802.0;17592186044416;0.11471;314.0677258968353
flops;['greedy'];BB MSP;18;0;13102290777298;54602981904240.0;54602981910018.0;17592186044416;0.05933;31.836424350738525
flops;['greedy'];BB MSP;30;0;775721571729939734;964939826245754.0;964939826255384.0;140737488355328;0.03847;104.61109328269958
custom_flops;['greedy'];BB MSP;18;0;34644537015634;20976384.0;20982162.0;2097152;0.07281;233.61352252960205
custom_flops;['greedy'];BB MSP;30;0;10639016581288490867992965355669115614;634842368927332.0;634842368936962.0;281474976710656;0.11252;303.9192359447479
flops;['greedy'];BB MSP;18;0;92842425392434;113659798.0;113665576.0;33554432;0.07821;13.792734146118164
