distance;representation;num_run;upper_bound_cost
3;Dual Surface;0;42.19013384263391
3;Dual Surface;1;45.19013355392911
3;Dual Surface;2;42.192293572149694
3;Dual Surface;3;42.32418117369458
3;Dual Surface;4;45.025486011324034
3;Dual Surface;5;45.19013355451566
3;Dual Surface;6;45.19013355393601
3;Dual Surface;7;45.19013355393601
3;Dual Surface;8;45.025183190807354
3;Dual Surface;9;45.04473584039409
3;Dual Surface;10;42.32418117369458
3;Dual Surface;11;42.19013384263391
3;Dual Surface;12;42.32418117369458
3;Dual Surface;13;45.19013355393601
3;Dual Surface;14;45.19013355451566
3;Dual Surface;15;42.33985052978045
3;Dual Surface;16;42.324181169418495
3;Dual Surface;17;42.322210727456
3;Dual Surface;18;45.192292977392626
3;Dual Surface;19;45.19013355451566
3;Dual Surface;20;45.0471240324526
3;Dual Surface;21;45.19013355451566
3;Dual Surface;22;42.324181169418495
3;Dual Surface;23;45.025183190807354
3;Dual Surface;24;42.19229328507108
3;Dual Surface;25;45.19013355451566
3;Dual Surface;26;42.32418117369458
3;Dual Surface;27;45.19013355451566
3;Dual Surface;28;42.19013413477978
3;Dual Surface;29;45.192292977392626
3;Dual Surface;30;42.192293572149694
3;Dual Surface;31;42.33985052978045
3;Dual Surface;32;45.192292977392626
3;Dual Surface;33;42.32221072317407
3;Dual Surface;34;42.19013413477978
3;Dual Surface;35;42.19013413477978
3;Dual Surface;36;42.192293572149694
3;Dual Surface;37;42.32221072317407
3;Dual Surface;38;42.19229328507108
3;Dual Surface;39;42.19013413477978
3;Dual Surface;40;42.33985052978045
3;Dual Surface;41;45.192292977392626
3;Dual Surface;42;42.32221072317407
3;Dual Surface;43;42.32418117364428
3;Dual Surface;44;42.324181177920366
3;Dual Surface;45;42.19229357677999
3;Dual Surface;46;42.32418117364428
3;Dual Surface;47;45.19013355393601
3;Dual Surface;48;42.322210727456
3;Dual Surface;49;45.190133553349455
3;Dual Surface;50;42.324181169418495
3;Dual Surface;51;42.32418117369458
3;Dual Surface;52;45.19013355393601
3;Dual Surface;53;42.19013413477978
3;Dual Surface;54;42.32418117364428
3;Dual Surface;55;45.19013355393601
3;Dual Surface;56;42.192293572149694
3;Dual Surface;57;45.192292977392626
3;Dual Surface;58;42.192293285126205
3;Dual Surface;59;42.32221072317407
3;Dual Surface;60;42.324181169418495
3;Dual Surface;61;42.19229357677999
3;Dual Surface;62;45.19013355393601
3;Dual Surface;63;42.192293285126205
3;Dual Surface;64;45.19013355393601
3;Dual Surface;65;42.33985052978045
3;Dual Surface;66;42.192293572149694
3;Dual Surface;67;45.192292977392626
3;Dual Surface;68;45.192292977392626
3;Dual Surface;69;42.19013413477978
3;Dual Surface;70;45.19013355451566
3;Dual Surface;71;42.19013413477978
3;Dual Surface;72;42.32221072317407
3;Dual Surface;73;42.324181169418495
3;Dual Surface;74;42.19229328507108
3;Dual Surface;75;42.192293572149694
3;Dual Surface;76;45.19229297680695
3;Dual Surface;77;42.19013384263391
3;Dual Surface;78;45.192292977392626
3;Dual Surface;79;42.19229328044078
3;Dual Surface;80;42.32221072317407
3;Dual Surface;81;42.19013413477978
3;Dual Surface;82;45.19013355393601
3;Dual Surface;83;45.19013355451566
3;Dual Surface;84;42.324181169418495
3;Dual Surface;85;45.044735841035205
3;Dual Surface;86;42.19229328507108
3;Dual Surface;87;42.19013413477978
3;Dual Surface;88;45.0471241124421
3;Dual Surface;89;42.19229328044078
3;Dual Surface;90;42.32221072317407
3;Dual Surface;91;42.19229328044078
3;Dual Surface;92;42.19013413477978
3;Dual Surface;93;45.19013355393601
3;Dual Surface;94;45.19013355393601
3;Dual Surface;95;42.19229328507108
3;Dual Surface;96;45.192292977392626
3;Dual Surface;97;45.19013355393601
3;Dual Surface;98;45.192292977392626
3;Dual Surface;99;45.19013355393601
3;Rotated Surface;0;31.098151305948374
3;Rotated Surface;1;31.17001083734074
3;Rotated Surface;2;30.45952792570722
3;Rotated Surface;3;30.339981943639497
3;Rotated Surface;4;31.643919808194223
3;Rotated Surface;5;31.098151305948374
3;Rotated Surface;6;30.339981943639497
3;Rotated Surface;7;30.339951371418145
3;Rotated Surface;8;33.339881613374196
3;Rotated Surface;9;30.459554190156013
3;Rotated Surface;10;31.643919808194223
3;Rotated Surface;11;30.45952604965687
3;Rotated Surface;12;30.45955606616977
3;Rotated Surface;13;30.339951371418145
3;Rotated Surface;14;30.45955606616977
3;Rotated Surface;15;30.459554190156013
3;Rotated Surface;16;30.339981943639497
3;Rotated Surface;17;31.098151305948374
3;Rotated Surface;18;31.643919808194223
3;Rotated Surface;19;31.098151305948374
3;Rotated Surface;20;30.45952604965687
3;Rotated Surface;21;34.098053343374495
3;Rotated Surface;22;31.643919808194223
3;Rotated Surface;23;30.339951371418145
3;Rotated Surface;24;30.45955606616977
3;Rotated Surface;25;34.022398007574196
3;Rotated Surface;26;30.339981943639497
3;Rotated Surface;27;31.643919808194223
3;Rotated Surface;28;31.643919808194223
3;Rotated Surface;29;30.45952792570722
3;Rotated Surface;30;31.098151305948374
3;Rotated Surface;31;30.45955606616977
3;Rotated Surface;32;30.459554190156013
3;Rotated Surface;33;30.459554190156013
3;Rotated Surface;34;31.170009690857494
3;Rotated Surface;35;31.098151305948374
3;Rotated Surface;36;30.339951371418145
3;Rotated Surface;37;31.643919808194223
3;Rotated Surface;38;31.170009690857494
3;Rotated Surface;39;31.170009690857494
3;Rotated Surface;40;30.339981943639497
3;Rotated Surface;41;33.06613989107911
3;Rotated Surface;42;31.098151305948374
3;Rotated Surface;43;30.339981943639497
3;Rotated Surface;44;30.45952792570722
3;Rotated Surface;45;31.643919808194223
3;Rotated Surface;46;30.45952792570722
3;Rotated Surface;47;30.459554190156013
3;Rotated Surface;48;31.170009690857494
3;Rotated Surface;49;31.170009690857494
3;Rotated Surface;50;30.45952604965687
3;Rotated Surface;51;31.170009690857494
3;Rotated Surface;52;31.17001083734074
3;Rotated Surface;53;31.098151305948374
3;Rotated Surface;54;30.459554190156013
3;Rotated Surface;55;30.339981943639497
3;Rotated Surface;56;33.339881613374196
3;Rotated Surface;57;30.339981943639497
3;Rotated Surface;58;31.643919808194223
3;Rotated Surface;59;31.170009690857494
3;Rotated Surface;60;33.04717478427041
3;Rotated Surface;61;30.339981943639497
3;Rotated Surface;62;30.339951371418145
3;Rotated Surface;63;31.17001083734074
3;Rotated Surface;64;30.339981943639497
3;Rotated Surface;65;30.339981943639497
3;Rotated Surface;66;30.459554190156013
3;Rotated Surface;67;30.459554190156013
3;Rotated Surface;68;30.459554190156013
3;Rotated Surface;69;30.45952604965687
3;Rotated Surface;70;31.643919808194223
3;Rotated Surface;71;30.339951371418145
3;Rotated Surface;72;30.339981943639497
3;Rotated Surface;73;31.098151305948374
3;Rotated Surface;74;30.459554190156013
3;Rotated Surface;75;31.17001083734074
3;Rotated Surface;76;30.45952604965687
3;Rotated Surface;77;30.45952604965687
3;Rotated Surface;78;33.04717478427041
3;Rotated Surface;79;30.45952604965687
3;Rotated Surface;80;30.339951371418145
3;Rotated Surface;81;30.339981943639497
3;Rotated Surface;82;30.459554190156013
3;Rotated Surface;83;31.17001083734074
3;Rotated Surface;84;31.170009690857494
3;Rotated Surface;85;30.45952604965687
3;Rotated Surface;86;30.459554190156013
3;Rotated Surface;87;30.339981943639497
3;Rotated Surface;88;30.45955606616977
3;Rotated Surface;89;30.45952792570722
3;Rotated Surface;90;30.45955606616977
3;Rotated Surface;91;31.643919808194223
3;Rotated Surface;92;30.45955606616977
3;Rotated Surface;93;31.643919808194223
3;Rotated Surface;94;31.098151305948374
3;Rotated Surface;95;30.459554190156013
3;Rotated Surface;96;30.339981943639497
3;Rotated Surface;97;31.643919808194223
3;Rotated Surface;98;30.45952604965687
3;Rotated Surface;99;31.170009690857494
3;Concatenated;0;60.044395455018645
3;Concatenated;1;60.189825165605484
3;Concatenated;2;60.18982516560562
3;Concatenated;3;61.01123032788724
3;Concatenated;4;60.04440480327548
3;Concatenated;5;61.01123032796658
3;Concatenated;6;61.01122998849997
3;Concatenated;7;60.022369184921686
3;Concatenated;8;60.022373914433224
3;Concatenated;9;61.01122999316634
3;Concatenated;10;57.1899018321464
3;Concatenated;11;57.16996904390801
3;Concatenated;12;60.18982516560536
3;Concatenated;13;58.08750428372043
3;Concatenated;14;61.011230327966544
3;Concatenated;15;58.08750428372003
3;Concatenated;16;61.01122999316622
3;Concatenated;17;60.022369184921466
3;Concatenated;18;60.18983421056619
3;Concatenated;19;61.01122999316618
3;Concatenated;20;60.02237865583473
3;Concatenated;21;60.18982576754452
3;Concatenated;22;61.011229988499935
3;Concatenated;23;60.02237866509559
3;Concatenated;24;60.04440012459465
3;Concatenated;25;60.02514564834867
3;Concatenated;26;61.011227605409275
3;Concatenated;27;60.02236918492159
3;Concatenated;28;61.01122999316642
3;Concatenated;29;61.01122760540925
3;Concatenated;30;57.32199853880389
3;Concatenated;31;60.02237391443307
3;Concatenated;32;60.18982576644485
3;Concatenated;33;60.0223691849219
3;Concatenated;34;60.02237865583473
3;Concatenated;35;57.1699348140211
3;Concatenated;36;57.169934814020465
3;Concatenated;37;60.02237866509519
3;Concatenated;38;60.02515038989628
3;Concatenated;39;60.02237865583486
3;Concatenated;40;60.025150389926274
3;Concatenated;41;57.170003286113605
3;Concatenated;42;60.04439545507485
3;Concatenated;43;60.189829988254395
3;Concatenated;44;60.02237866509564
3;Concatenated;45;61.01122760540921
3;Concatenated;46;60.022369184921615
3;Concatenated;47;60.0223691849216
3;Concatenated;48;61.011227605409225
3;Concatenated;49;60.04440012461333
3;Concatenated;50;60.02237866509526
3;Concatenated;51;60.044400124613176
3;Concatenated;52;60.02515038065304
3;Concatenated;53;60.022378665095204
3;Concatenated;54;61.01122998850007
3;Concatenated;55;61.01122998791665
3;Concatenated;56;60.022369184921615
3;Concatenated;57;60.022378665095744
3;Concatenated;58;60.02237866509519
3;Concatenated;59;57.321936909558374
3;Concatenated;60;60.02237866393774
3;Concatenated;61;61.011232716972444
3;Concatenated;62;60.02237866509566
3;Concatenated;63;60.18982516560569
3;Concatenated;64;60.022378665095744
3;Concatenated;65;60.189834218370656
3;Concatenated;66;60.044395455018645
3;Concatenated;67;60.02237865583466
3;Concatenated;68;61.011227605409296
3;Concatenated;69;60.044395455018645
3;Concatenated;70;60.0444047941574
3;Concatenated;71;60.18983421837107
3;Concatenated;72;60.02514091610593
3;Concatenated;73;61.011227604826
3;Concatenated;74;60.02237865583472
3;Concatenated;75;60.02514564834867
3;Concatenated;76;60.02514091610591
3;Concatenated;77;60.0444047941574
3;Concatenated;78;60.044404794297364
3;Concatenated;79;61.01122999316622
3;Concatenated;80;60.18982998876746
3;Concatenated;81;61.011227605409445
3;Concatenated;82;60.022378665095346
3;Concatenated;83;61.011229988499984
3;Concatenated;84;60.18983421012516
3;Concatenated;85;60.02237865583472
3;Concatenated;86;60.02237865583463
3;Concatenated;87;60.189825165605484
3;Concatenated;88;60.02237865583473
3;Concatenated;89;61.01123272163887
3;Concatenated;90;60.18982576651496
3;Concatenated;91;61.011227600743226
3;Concatenated;92;60.02515038989274
3;Concatenated;93;60.18982516560583
3;Concatenated;94;60.02237391443314
3;Concatenated;95;60.0444001245921
3;Concatenated;96;60.044404794175854
3;Concatenated;97;60.189834218298756
3;Concatenated;98;60.02237865583465
3;Concatenated;99;60.18982516560562
